Asset,Count
1,16242
2,35013
3,37666
4,56055
5,-
6,-
7,36194
8,-
9,24011
10,28202
11,20304
12,29313
13,-
14,39153
15,51299
16,2577
17,10728
18,30554
19,1130
20,44611
21,1437
22,5176
23,2907
24,15845
25,15465
26,9402
27,5386
28,99954
29,15448
30,2600
31,28632
32,13016
33,63246
34,29404
35,276291
36,218964
37,32225
38,16607
39,23313
40,5756
41,152076
42,95712
43,324859
44,189578
45,283395
46,254401
47,291809
48,276621
49,376429
50,65584
51,101280
52,210503
53,64390
54,176105
55,254594
56,131155
57,243381
58,70180
59,197954
60,299835
61,293300
62,150912
63,225295
64,260425
65,157309
66,98087
67,270803
68,249580
69,172235
70,298417
71,329097
72,478855
73,264019
74,163689
75,417337
76,186719
77,153680
78,71040
79,100122
80,204908
81,765559
82,1838476
83,240818
84,59198
85,604346
86,538279
87,697914
88,601872
89,604366
90,367937
91,372030
92,533115
93,430557
94,466391
95,386920
96,714480
97,1067280
98,448353
99,987507
100,1316543
101,1078846
102,526954
103,396897
104,363599
105,650967
106,447759
